shipment_id,order_date,warehouse,destination_region,vehicle_type,distance_km,weight_kg,shipment_count,warehouse_processing_hours,traffic_level,weather,delivery_days,promised_days,delay_flag,shipping_cost,delay_reason
SHP0001,2026-01-01,Delhi,North,Van,28.9,23.7,2,10.1,Low,Rain,1.47,1.5,0,297.34,None
SHP0002,2026-01-02,Kanpur,West,Truck,194.1,33.6,4,14.1,Medium,Clear,5.04,2.5,1,834.82,Warehouse Delay
SHP0003,2026-01-03,Kanpur,East,Truck,56.8,13.3,1,7.4,High,Clear,1.86,1.5,1,384.47,Weather
SHP0004,2026-01-04,Jaipur,East,Van,66.5,15.2,2,11.0,Low,Clear,2.09,1.5,1,308.96,Route Congestion
SHP0005,2026-01-05,Jaipur,Central,Van,266.7,28.5,4,17.4,High,Clear,6.28,4.0,1,962.06,Route Congestion
SHP0006,2026-01-06,Bareilly,Central,Van,166.9,17.9,4,9.9,Medium,Cloudy,3.87,2.5,1,639.64,Route Congestion
SHP0007,2026-01-07,Delhi,West,Bike,387.4,25.9,2,16.5,High,Clear,10.49,4.0,1,1227.64,Traffic
SHP0008,2026-01-08,Kanpur,North,Truck,136.1,16.4,3,14.5,Medium,Clear,3.93,2.5,1,588.37,Weather
SHP0009,2026-01-09,Lucknow,Central,Van,305.8,7.9,1,2.0,Medium,Clear,6.46,4.0,1,836.82,Warehouse Delay
SHP0010,2026-01-10,Delhi,North,Bike,195.3,26.2,1,8.3,Medium,Clear,5.5,2.5,1,745.27,Route Congestion
SHP0011,2026-01-11,Jaipur,East,Bike,278.2,5.0,2,12.9,Medium,Clear,7.36,4.0,1,716.01,Route Congestion
SHP0012,2026-01-12,Bareilly,West,Truck,253.1,7.4,4,17.8,High,Cloudy,6.43,4.0,1,741.28,Route Congestion
SHP0013,2026-01-13,Kanpur,East,Bike,200.2,22.1,3,8.8,Low,Clear,5.72,2.5,1,692.45,Traffic
SHP0014,2026-01-14,Kanpur,East,Bike,399.2,26.3,2,2.6,Low,Clear,9.84,4.0,1,1178.33,Warehouse Delay
SHP0015,2026-01-15,Kanpur,East,Bike,145.9,31.4,2,10.6,Low,Clear,4.34,2.5,1,677.07,Weather
SHP0016,2026-01-16,Kanpur,North,Bike,76.9,9.9,1,3.2,High,Clear,2.44,1.5,1,312.94,Weather
SHP0017,2026-01-17,Jaipur,East,Bike,285.8,4.3,2,13.8,Medium,Clear,7.82,4.0,1,724.67,Warehouse Delay
SHP0018,2026-01-18,Delhi,North,Van,355.8,33.5,1,9.6,Medium,Cloudy,7.62,4.0,1,1195.63,Traffic
SHP0019,2026-01-19,Bareilly,Central,Bike,19.8,5.8,1,13.3,High,Rain,1.76,1.5,1,229.54,Traffic
SHP0020,2026-01-20,Jaipur,West,Truck,190.5,7.3,3,15.8,High,Clear,5.2,2.5,1,581.68,Weather
SHP0021,2026-01-21,Jaipur,Central,Truck,375.2,10.6,1,11.7,Low,Rain,8.7,4.0,1,1041.53,Warehouse Delay
SHP0022,2026-01-22,Lucknow,North,Van,315.6,18.8,1,11.4,Medium,Clear,6.85,4.0,1,933.73,Warehouse Delay
SHP0023,2026-01-23,Delhi,North,Bike,416.6,31.0,3,13.8,High,Clear,11.08,4.0,1,1344.14,Route Congestion
SHP0024,2026-01-24,Bareilly,East,Van,224.6,26.7,2,15.3,Low,Cloudy,5.18,4.0,1,806.17,Traffic
SHP0025,2026-01-25,Kanpur,Central,Bike,278.2,24.9,2,15.8,Medium,Cloudy,7.79,4.0,1,908.36,Route Congestion
SHP0026,2026-01-26,Kanpur,Central,Van,129.1,6.5,1,1.6,Medium,Cloudy,3.32,2.5,1,397.6,Warehouse Delay
SHP0027,2026-01-27,Jaipur,East,Truck,398.1,12.8,1,10.5,Medium,Clear,9.33,4.0,1,1132.37,Route Congestion
SHP0028,2026-01-28,Bareilly,North,Truck,155.8,17.0,2,4.7,Medium,Clear,3.96,2.5,1,622.08,Route Congestion
SHP0029,2026-01-29,Jaipur,East,Van,311.0,5.6,3,15.6,Low,Clear,6.97,4.0,1,828.82,Weather
SHP0030,2026-01-30,Jaipur,East,Bike,171.1,9.9,2,12.0,Low,Clear,4.69,2.5,1,546.14,Warehouse Delay
SHP0031,2026-01-31,Jaipur,West,Van,237.3,11.1,3,8.1,Low,Cloudy,5.11,4.0,1,655.98,Traffic
SHP0032,2026-02-01,Lucknow,North,Van,303.1,4.9,3,4.2,Low,Clear,6.51,4.0,1,821.48,Traffic
SHP0033,2026-02-02,Delhi,North,Van,215.2,19.5,2,6.8,Medium,Clear,4.76,2.5,1,707.67,Route Congestion
SHP0034,2026-02-03,Jaipur,Central,Van,381.3,24.8,2,13.0,Medium,Clear,8.22,4.0,1,1151.91,Traffic
SHP0035,2026-02-04,Bareilly,West,Bike,177.8,2.9,2,4.5,Low,Clear,4.75,2.5,1,419.99,Warehouse Delay
SHP0036,2026-02-05,Delhi,North,Bike,272.8,17.1,1,2.6,Medium,Clear,6.91,4.0,1,755.99,Warehouse Delay
SHP0037,2026-02-06,Bareilly,Central,Van,145.8,27.5,3,16.1,Medium,Clear,3.76,2.5,1,683.11,Weather
SHP0038,2026-02-07,Bareilly,North,Bike,173.2,26.3,3,14.0,Medium,Clear,5.13,2.5,1,691.76,Route Congestion
SHP0039,2026-02-08,Lucknow,West,Bike,186.5,28.6,2,4.4,High,Clear,5.08,2.5,1,732.75,Weather
SHP0040,2026-02-09,Kanpur,North,Truck,55.5,16.0,2,6.0,Medium,Clear,1.75,1.5,1,381.25,Route Congestion
SHP0041,2026-02-10,Delhi,West,Truck,41.2,28.8,2,17.5,High,Clear,2.05,1.5,1,565.98,Weather
SHP0042,2026-02-11,Kanpur,North,Van,281.3,8.8,3,13.0,Low,Cloudy,6.38,4.0,1,813.63,Warehouse Delay
SHP0043,2026-02-12,Kanpur,North,Truck,276.4,12.9,4,11.4,Medium,Clear,6.64,4.0,1,824.35,Traffic
SHP0044,2026-02-13,Lucknow,North,Truck,279.4,6.6,1,6.2,High,Clear,6.62,4.0,1,792.42,Traffic
SHP0045,2026-02-14,Delhi,East,Bike,11.2,16.6,2,6.1,High,Clear,1.15,1.5,0,348.55,None
SHP0046,2026-02-15,Bareilly,North,Van,139.2,14.0,1,1.7,Medium,Rain,3.27,2.5,1,551.55,Traffic
SHP0047,2026-02-16,Jaipur,Central,Van,85.5,8.8,2,13.4,Medium,Cloudy,2.62,2.5,1,350.0,Warehouse Delay
SHP0048,2026-02-17,Bareilly,West,Bike,327.5,26.4,1,1.7,Medium,Clear,8.36,4.0,1,1029.92,Warehouse Delay
SHP0049,2026-02-18,Kanpur,West,Van,361.9,11.3,2,1.1,Medium,Clear,7.52,4.0,1,989.31,Warehouse Delay
SHP0050,2026-02-19,Kanpur,West,Van,105.9,9.9,2,13.4,Medium,Clear,3.01,2.5,1,435.17,Route Congestion
SHP0051,2026-02-20,Kanpur,East,Van,281.5,5.0,2,17.1,High,Rain,6.8,4.0,1,789.57,Route Congestion
SHP0052,2026-02-21,Delhi,Central,Bike,56.9,15.6,2,13.9,Medium,Clear,2.27,1.5,1,357.53,Weather
SHP0053,2026-02-22,Lucknow,East,Bike,117.7,11.0,4,9.0,Low,Clear,3.42,2.5,1,493.35,Traffic
SHP0054,2026-02-23,Jaipur,Central,Truck,60.8,13.2,4,9.3,Medium,Rain,2.28,1.5,1,414.85,Warehouse Delay
SHP0055,2026-02-24,Jaipur,East,Bike,121.2,8.6,1,8.4,Low,Cloudy,3.66,2.5,1,411.69,Weather
SHP0056,2026-02-25,Delhi,West,Bike,284.4,26.8,2,6.5,Low,Clear,7.45,4.0,1,981.83,Weather
SHP0057,2026-02-26,Jaipur,West,Bike,382.6,32.6,4,9.9,Low,Clear,9.91,4.0,1,1195.46,Warehouse Delay
SHP0058,2026-02-27,Delhi,East,Van,87.5,17.7,3,8.3,Medium,Clear,2.47,2.5,0,515.23,None
SHP0059,2026-02-28,Kanpur,East,Van,229.0,22.7,1,11.2,Low,Clear,5.3,4.0,1,772.64,Warehouse Delay
SHP0060,2026-03-01,Kanpur,East,Van,295.5,30.4,3,16.3,Low,Clear,6.82,4.0,1,1104.41,Weather
SHP0061,2026-03-02,Bareilly,West,Bike,400.4,35.0,1,17.9,Low,Rain,10.84,4.0,1,1191.12,Traffic
SHP0062,2026-03-03,Kanpur,North,Bike,257.4,21.7,1,2.3,High,Rain,6.87,4.0,1,856.58,Weather
SHP0063,2026-03-04,Lucknow,Central,Truck,109.4,31.2,3,7.5,Medium,Clear,3.19,2.5,1,641.67,Traffic
SHP0064,2026-03-05,Bareilly,North,Van,263.8,31.8,3,4.1,Low,Clear,5.62,4.0,1,948.27,Weather
SHP0065,2026-03-06,Jaipur,East,Van,136.6,27.8,4,7.0,Low,Clear,3.34,2.5,1,705.14,Route Congestion
SHP0066,2026-03-07,Lucknow,North,Van,410.0,16.4,2,5.9,Medium,Clear,8.6,4.0,1,1104.71,Weather
SHP0067,2026-03-08,Bareilly,North,Van,169.7,3.3,4,4.0,Low,Cloudy,3.83,2.5,1,519.23,Warehouse Delay
SHP0068,2026-03-09,Lucknow,North,Bike,288.8,1.0,2,14.0,Medium,Clear,7.8,4.0,1,769.61,Route Congestion
SHP0069,2026-03-10,Delhi,West,Van,12.7,17.0,3,9.4,Medium,Clear,1.15,1.5,0,315.97,None
SHP0070,2026-03-11,Jaipur,West,Van,169.8,17.6,1,16.6,High,Clear,4.86,2.5,1,621.84,Warehouse Delay
SHP0071,2026-03-12,Kanpur,East,Bike,367.9,14.6,1,1.6,Low,Clear,9.13,4.0,1,1028.66,Traffic
SHP0072,2026-03-13,Delhi,Central,Truck,257.5,20.1,4,2.1,Medium,Clear,5.89,4.0,1,900.55,Traffic
SHP0073,2026-03-14,Jaipur,Central,Van,188.1,19.5,4,7.9,Low,Cloudy,4.26,2.5,1,693.9,Traffic
SHP0074,2026-03-15,Delhi,North,Van,393.3,29.4,4,2.4,High,Cloudy,8.18,4.0,1,1285.35,Traffic
SHP0075,2026-03-16,Kanpur,North,Truck,359.1,4.2,2,5.5,High,Clear,8.45,4.0,1,961.78,Weather
SHP0076,2026-03-17,Jaipur,Central,Van,137.4,8.3,1,17.8,Medium,Cloudy,3.76,2.5,1,454.35,Weather
SHP0077,2026-03-18,Lucknow,East,Truck,230.1,27.9,4,4.6,Medium,Clear,5.36,4.0,1,891.24,Route Congestion
SHP0078,2026-03-19,Lucknow,West,Van,207.3,29.8,3,4.4,Low,Cloudy,4.35,2.5,1,795.98,Weather
SHP0079,2026-03-20,Jaipur,East,Truck,266.6,34.8,1,10.8,High,Clear,6.47,4.0,1,988.69,Route Congestion
SHP0080,2026-03-21,Kanpur,North,Bike,142.3,30.6,4,9.5,Medium,Clear,4.01,2.5,1,667.64,Weather
SHP0081,2026-03-22,Bareilly,North,Van,104.8,31.2,4,10.9,Low,Rain,3.0,2.5,1,572.8,Warehouse Delay
SHP0082,2026-03-23,Jaipur,East,Van,383.6,11.3,2,7.4,Medium,Clear,8.45,4.0,1,1033.21,Weather
SHP0083,2026-03-24,Delhi,North,Bike,388.3,14.4,4,15.1,Medium,Clear,10.26,4.0,1,1086.5,Warehouse Delay
SHP0084,2026-03-25,Bareilly,North,Van,354.7,9.7,4,3.4,High,Clear,7.32,4.0,1,1025.44,Warehouse Delay
SHP0085,2026-03-26,Kanpur,Central,Truck,410.9,21.4,3,8.3,Medium,Clear,9.45,4.0,1,1204.56,Warehouse Delay
SHP0086,2026-03-27,Kanpur,East,Van,313.7,32.9,3,12.7,Medium,Clear,6.91,4.0,1,1059.6,Weather
SHP0087,2026-03-28,Delhi,West,Bike,321.9,12.4,2,15.8,Medium,Clear,8.91,4.0,1,953.98,Warehouse Delay
SHP0088,2026-03-29,Lucknow,North,Bike,321.0,19.7,4,7.3,Low,Cloudy,8.28,4.0,1,951.08,Weather
SHP0089,2026-03-30,Kanpur,East,Bike,203.4,10.7,4,10.7,Medium,Clear,5.65,2.5,1,641.44,Route Congestion
SHP0090,2026-03-31,Bareilly,East,Bike,193.3,6.4,4,2.2,Low,Clear,5.02,2.5,1,583.08,Warehouse Delay
SHP0091,2026-04-01,Jaipur,East,Truck,103.2,7.2,3,3.9,Medium,Clear,2.84,2.5,1,333.4,Warehouse Delay
SHP0092,2026-04-02,Bareilly,East,Van,271.9,2.5,1,2.2,Medium,Cloudy,5.75,4.0,1,666.42,Warehouse Delay
SHP0093,2026-04-03,Bareilly,North,Bike,123.6,33.3,2,13.4,Medium,Clear,3.87,2.5,1,698.78,Route Congestion
SHP0094,2026-04-04,Lucknow,East,Van,110.5,14.4,2,5.9,Low,Clear,2.7,2.5,1,375.37,Traffic
SHP0095,2026-04-05,Bareilly,Central,Bike,247.3,29.3,4,13.3,Low,Clear,6.64,4.0,1,927.51,Route Congestion
SHP0096,2026-04-06,Lucknow,East,Bike,174.0,24.0,3,2.1,Medium,Cloudy,4.73,2.5,1,753.99,Warehouse Delay
SHP0097,2026-04-07,Lucknow,West,Van,94.3,7.1,3,15.7,Low,Cloudy,2.62,2.5,1,334.71,Route Congestion
SHP0098,2026-04-08,Kanpur,East,Van,343.3,6.6,1,15.2,Low,Clear,7.53,4.0,1,864.71,Route Congestion
SHP0099,2026-04-09,Kanpur,West,Truck,361.9,28.5,4,2.5,Medium,Cloudy,8.19,4.0,1,1196.75,Route Congestion
SHP0100,2026-04-10,Delhi,West,Van,72.9,9.6,2,1.4,Medium,Clear,1.93,1.5,1,325.8,Route Congestion
SHP0101,2026-04-11,Bareilly,West,Van,6.1,32.0,1,2.0,Medium,Clear,0.7,1.5,0,418.49,None
SHP0102,2026-04-12,Delhi,East,Van,143.2,5.3,4,15.5,Medium,Clear,3.83,2.5,1,455.09,Weather
SHP0103,2026-04-13,Bareilly,West,Truck,335.6,23.9,1,5.0,High,Clear,7.9,4.0,1,1051.92,Traffic
SHP0104,2026-04-14,Delhi,North,Van,352.9,28.6,1,10.3,Low,Clear,7.68,4.0,1,1045.16,Warehouse Delay
SHP0105,2026-04-15,Kanpur,East,Truck,60.7,8.6,1,8.2,Medium,Clear,2.09,1.5,1,306.9,Traffic
SHP0106,2026-04-16,Kanpur,West,Van,325.9,10.0,2,14.5,High,Clear,7.54,4.0,1,975.21,Weather
SHP0107,2026-04-17,Kanpur,Central,Truck,51.2,33.8,1,9.3,Medium,Clear,1.98,1.5,1,494.84,Weather
SHP0108,2026-04-18,Kanpur,West,Bike,165.7,9.6,4,9.5,Medium,Clear,4.72,2.5,1,521.16,Weather
SHP0109,2026-04-19,Jaipur,East,Van,419.4,15.3,3,17.8,Medium,Cloudy,9.1,4.0,1,1112.52,Traffic
SHP0110,2026-04-20,Kanpur,East,Van,83.3,15.4,2,3.6,Medium,Cloudy,2.26,2.5,0,430.51,None
SHP0111,2026-04-21,Lucknow,East,Van,67.2,9.2,1,15.1,Medium,Clear,2.42,1.5,1,378.82,Weather
SHP0112,2026-04-22,Kanpur,Central,Van,179.3,27.3,2,1.9,Medium,Clear,4.09,2.5,1,743.98,Route Congestion
SHP0113,2026-04-23,Jaipur,East,Truck,261.4,27.1,1,9.1,Low,Clear,6.06,4.0,1,849.37,Route Congestion
SHP0114,2026-04-24,Jaipur,Central,Truck,392.0,13.6,4,16.1,Low,Clear,9.08,4.0,1,1085.02,Traffic
SHP0115,2026-04-25,Jaipur,West,Bike,412.0,29.3,2,12.3,Medium,Clear,10.81,4.0,1,1240.12,Warehouse Delay
SHP0116,2026-04-26,Jaipur,West,Van,32.0,7.9,2,12.6,Low,Clear,1.48,1.5,0,195.66,None
SHP0117,2026-04-27,Delhi,North,Van,60.5,0.6,1,5.5,Medium,Cloudy,1.62,1.5,1,188.93,Route Congestion
SHP0118,2026-04-28,Delhi,Central,Bike,332.7,20.2,1,8.1,Medium,Clear,8.74,4.0,1,1033.4,Traffic
SHP0119,2026-04-29,Lucknow,North,Bike,115.9,34.8,1,7.2,High,Clear,3.4,2.5,1,605.51,Route Congestion
SHP0120,2026-04-30,Delhi,North,Bike,372.0,1.8,1,9.9,Low,Clear,9.51,4.0,1,900.93,Traffic
SHP0121,2026-05-01,Jaipur,Central,Van,279.7,7.7,3,8.9,Medium,Cloudy,6.37,4.0,1,765.42,Traffic
SHP0122,2026-05-02,Kanpur,Central,Van,49.6,18.4,4,6.6,Medium,Clear,1.88,1.5,1,380.88,Route Congestion
SHP0123,2026-05-03,Kanpur,North,Truck,350.2,28.4,4,6.2,Low,Cloudy,7.78,4.0,1,1160.76,Warehouse Delay
SHP0124,2026-05-04,Jaipur,Central,Van,76.5,3.6,2,5.3,Low,Clear,2.0,1.5,1,240.88,Warehouse Delay
SHP0125,2026-05-05,Bareilly,West,Truck,179.6,14.1,4,7.2,Low,Clear,4.4,2.5,1,582.24,Weather
SHP0126,2026-05-06,Jaipur,North,Van,233.3,26.3,3,3.5,Low,Clear,5.2,4.0,1,814.73,Warehouse Delay
SHP0127,2026-05-07,Delhi,Central,Van,211.8,13.3,1,15.8,Low,Clear,5.02,2.5,1,646.55,Weather
SHP0128,2026-05-08,Kanpur,Central,Bike,289.1,7.0,1,11.2,Medium,Rain,7.83,4.0,1,756.1,Warehouse Delay
SHP0129,2026-05-09,Jaipur,West,Van,275.2,7.2,3,3.3,Medium,Clear,6.05,4.0,1,712.39,Warehouse Delay
SHP0130,2026-05-10,Kanpur,Central,Truck,416.7,14.6,2,12.8,Low,Rain,9.62,4.0,1,1066.01,Warehouse Delay
SHP0131,2026-05-11,Jaipur,West,Truck,419.8,17.0,1,15.4,Low,Clear,9.82,4.0,1,1157.42,Traffic
SHP0132,2026-05-12,Jaipur,Central,Truck,218.4,30.2,4,5.0,Low,Cloudy,4.95,2.5,1,836.98,Warehouse Delay
SHP0133,2026-05-13,Delhi,Central,Bike,42.7,22.7,3,3.6,Medium,Rain,1.68,1.5,1,422.89,Weather
SHP0134,2026-05-14,Jaipur,Central,Van,306.5,24.3,3,1.1,Low,Clear,6.09,4.0,1,949.53,Traffic
SHP0135,2026-05-15,Kanpur,North,Bike,410.3,34.4,4,1.8,Medium,Clear,10.15,4.0,1,1291.66,Traffic
SHP0136,2026-05-16,Lucknow,West,Bike,135.7,14.7,4,14.0,Low,Cloudy,4.29,2.5,1,575.77,Weather
SHP0137,2026-05-17,Kanpur,North,Van,195.3,14.4,4,17.8,Low,Clear,4.84,2.5,1,635.91,Warehouse Delay
SHP0138,2026-05-18,Delhi,Central,Van,180.1,32.4,2,1.8,High,Rain,4.16,2.5,1,807.3,Traffic
SHP0139,2026-05-19,Lucknow,East,Van,24.4,9.0,4,13.7,Low,Clear,1.3,1.5,0,264.82,None
SHP0140,2026-05-20,Jaipur,East,Truck,283.3,25.7,3,2.2,Low,Clear,6.32,4.0,1,896.11,Route Congestion
SHP0141,2026-05-21,Bareilly,West,Van,150.3,26.5,3,11.1,Low,Clear,3.74,2.5,1,621.83,Traffic
SHP0142,2026-05-22,Lucknow,East,Truck,331.4,3.9,4,13.9,High,Cloudy,8.18,4.0,1,915.97,Traffic
SHP0143,2026-05-23,Lucknow,East,Bike,350.0,16.7,1,7.1,Medium,Rain,8.85,4.0,1,989.81,Warehouse Delay
SHP0144,2026-05-24,Jaipur,Central,Bike,345.5,7.4,2,1.2,Medium,Clear,8.61,4.0,1,917.51,Weather
SHP0145,2026-05-25,Bareilly,East,Van,176.7,6.9,1,11.1,High,Cloudy,4.46,2.5,1,647.21,Traffic
SHP0146,2026-05-26,Bareilly,Central,Truck,137.1,16.5,2,17.9,Low,Rain,4.04,2.5,1,524.03,Route Congestion
SHP0147,2026-05-27,Delhi,Central,Bike,315.3,10.5,2,5.4,High,Clear,8.34,4.0,1,833.16,Warehouse Delay
SHP0148,2026-05-28,Lucknow,West,Van,337.2,28.0,4,4.2,Low,Clear,7.04,4.0,1,1081.4,Traffic
SHP0149,2026-05-29,Bareilly,East,Van,207.9,31.8,4,3.1,Medium,Cloudy,4.54,2.5,1,857.51,Route Congestion
SHP0150,2026-05-30,Delhi,East,Bike,375.4,28.2,2,10.4,Medium,Clear,9.74,4.0,1,1161.43,Traffic
SHP0151,2026-05-31,Bareilly,Central,Van,63.0,9.7,2,11.1,Medium,Clear,2.08,1.5,1,330.36,Traffic
SHP0152,2026-06-01,Lucknow,West,Truck,369.6,10.0,3,14.5,High,Cloudy,9.02,4.0,1,1039.64,Route Congestion
SHP0153,2026-06-02,Bareilly,North,Van,43.1,9.3,4,13.8,Low,Clear,1.67,1.5,1,267.52,Weather
SHP0154,2026-06-03,Lucknow,East,Bike,67.0,5.2,4,16.2,High,Rain,2.93,1.5,1,380.31,Warehouse Delay
SHP0155,2026-06-04,Jaipur,West,Truck,225.6,33.1,1,14.7,Medium,Cloudy,5.79,4.0,1,850.97,Weather
SHP0156,2026-06-05,Kanpur,West,Bike,31.2,14.4,1,5.2,Medium,Cloudy,1.6,1.5,1,250.51,Weather
SHP0157,2026-06-06,Delhi,East,Truck,25.0,8.3,3,10.4,High,Clear,1.48,1.5,0,390.28,None
SHP0158,2026-06-07,Jaipur,West,Bike,3.2,29.7,2,6.1,Low,Clear,0.8,1.5,0,318.12,None
SHP0159,2026-06-08,Jaipur,North,Van,184.9,14.3,1,6.6,High,Clear,4.54,2.5,1,661.74,Weather
SHP0160,2026-06-09,Kanpur,Central,Van,326.0,1.7,1,16.8,Medium,Clear,7.39,4.0,1,750.85,Warehouse Delay
SHP0161,2026-06-10,Bareilly,North,Bike,17.5,6.1,2,12.6,Medium,Cloudy,1.37,1.5,0,195.6,None
SHP0162,2026-06-11,Kanpur,West,Truck,275.0,22.6,2,17.6,Low,Clear,6.77,4.0,1,830.99,Weather
SHP0163,2026-06-12,Jaipur,North,Bike,346.2,27.5,3,8.1,Medium,Clear,8.98,4.0,1,1087.34,Traffic
SHP0164,2026-06-13,Jaipur,North,Bike,73.1,7.8,1,10.1,Medium,Clear,2.7,1.5,1,350.94,Route Congestion
SHP0165,2026-06-14,Jaipur,West,Bike,64.2,32.2,3,9.3,Medium,Clear,2.38,1.5,1,555.35,Warehouse Delay
SHP0166,2026-06-15,Bareilly,West,Van,362.0,29.9,3,2.8,Low,Clear,7.46,4.0,1,1148.29,Warehouse Delay
SHP0167,2026-06-16,Lucknow,West,Truck,346.2,29.8,2,5.0,Low,Clear,7.64,4.0,1,1019.54,Route Congestion
